"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Souza Paulino D.; Dutra-Thomé L.; Bendassolli P.F.","de Souza Paulino, Daniele (57201797834); Dutra-Thomé, Luciana (53163393200); Bendassolli, Pedro F. (40761084000)","57201797834; 53163393200; 40761084000","Adulthood and the neet phenomenon: gender, education and labor market; [Adultez e o fenômeno nem-nem: gênero, educação e mercado de trabalho]","2021","Revista Brasileira de Orientacao Profissional","22","1","","1","15","14","1","10.26707/1984-7270/2021v22n101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126322990&doi=10.26707%2f1984-7270%2f2021v22n101&partnerID=40&md5=b6dc7ae2d7b34513fa0c5faea6fe4d3c","Article","Final","","Scopus","2-s2.0-85126322990"
"Costa S.D.S.","Costa, Simone da Silva (57219561043)","57219561043","The pandemic and the labor market in Brazil; [Pandemia e desemprego no Brasil]; [Pandemia y desempleo en Brasil]","2020","Revista de Administracao Publica","54","4","","969","978","9","42","10.1590/0034-761220200170x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093903103&doi=10.1590%2f0034-761220200170x&partnerID=40&md5=a9df5c6ea4f0a33a08c6ae58e1b224ce","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85093903103"
"Jacob M.C.M.; de Araújo F.R.","Jacob, Michelle Cristine Medeiros (57200676874); de Araújo, Fábio Resende (56556261300)","57200676874; 56556261300","Competency building in nutrition in the context of sustainable food systems; [Desenvolvimento de competências para nutrição no contexto de sistemas alimentares sustentáveis]","2020","Ciencia e Saude Coletiva","25","11","","4369","4378","9","0","10.1590/1413-812320202511.31652018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095590340&doi=10.1590%2f1413-812320202511.31652018&partnerID=40&md5=fe42c1ac2e8906516aad5eb268baa0b7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85095590340"
"Flores M.G.; Medeiros A.C.L.V.; Peixinho B.C.; Nepomuceno M.M.; Do Nascimento E.F.; Gurgel A.D.M.; Dos Santos M.O.S.; Gurgel I.G.D.","Flores, Mariana Gurbindo (59207386800); Medeiros, Ana Catarina Leite Véras (35724006200); Peixinho, Bianca Cardoso (57373132600); Nepomuceno, Mariana Maciel (59207748000); Do Nascimento, Elaine Ferreira (13605130400); Gurgel, Aline Do Monte (57147457000); Dos Santos, Mariana Olívia Santana (55941294300); Gurgel, Idê Gomes Dantas (6505721592)","59207386800; 35724006200; 57373132600; 59207748000; 13605130400; 57147457000; 55941294300; 6505721592","The protective and destructive critical processes of female labor in small-scale fishing in coast Pernambuco, Brazil; [Processos críticos protetores e destrutivos no trabalho 1 das pescadoras artesanais do litoral Pernambucano, Brasil]","2024","Ciencia e Saude Coletiva","29","7","e03612024","","","","0","10.1590/1413-81232024297.03612024EN","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197680115&doi=10.1590%2f1413-81232024297.03612024EN&partnerID=40&md5=262fe91370f65a4af89983d7627be469","Article","Final","","Scopus","2-s2.0-85197680115"
"de Aguiar R.B.; Silva D.S.; Sidrim M.L.; Tilemann Facó R.; Yamashita G.H.; Broze T.S.; Musser C.F.","de Aguiar, Rafael Barbosa (55523370700); Silva, Diego Souza (57213150803); Sidrim, Maíra Luciano (57015645500); Tilemann Facó, Renata (56841596100); Yamashita, Gabrielli Harumi (57193381633); Broze, Thiago Silva (57015323500); Musser, Camila Fernandes (57193609220)","55523370700; 57213150803; 57015645500; 56841596100; 57193381633; 57015323500; 57193609220","Public policy of encouraging the creation of jobs and income in climatic resort; [Política Pública de Incentivo à Criação de Trabalho e Renda em Estância Climática]","2017","Espacios","38","13","26","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015258940&partnerID=40&md5=a6034056c2541e79da08740135af923f","Article","Final","","Scopus","2-s2.0-85015258940"
"Silva R.M.A.D.; Aquino J.R.D.; Costa F.B.; Nunes E.M.","Silva, Roberto Marinho Alves da (57221017712); Aquino, Joacir Rufino de (56622886200); Costa, Fernando Bastos (57221233947); Nunes, Emanoel Márcio (55910426100)","57221017712; 56622886200; 57221233947; 55910426100","Productive and socio-environmental characteristics of family farming in the Brazilian semiarid region: evidences from the 2017 Agricultural Census; [Características produtivas e socioambientais da agricultura familiar no Semiárido brasileiro: evidências a partir do Censo Agropecuário de 2017]","2020","Desenvolvimento e Meio Ambiente","55","","","314","338","24","5","10.5380/dma.v55i0.73745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098545375&doi=10.5380%2fdma.v55i0.73745&partnerID=40&md5=1edb63492a1dcb9066387f7683ed81ce","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85098545375"
"da Silva P.E.; Santos e Silva C.M.; Spyrides M.H.C.; Andrade L.M.B.","da Silva, Pollyanne Evangelista (57203751384); Santos e Silva, Cláudio Moisés (57215141564); Spyrides, Maria Helena Constantino (12770094900); Andrade, Lára de Melo Barbosa (57189848395)","57203751384; 57215141564; 12770094900; 57189848395","Analysis of climate extreme indices in the northeast brazil and the Brazilian amazon in the period from 1980 to 2013; [Análise de Índices de Extremos Climáticos no Nordeste e Amazônia Brasileira para o Período entre 1980 a 2013]","2019","Anuario do Instituto de Geociencias","42","2","","137","148","11","18","10.11137/2019_2_137_148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071169110&doi=10.11137%2f2019_2_137_148&partnerID=40&md5=08d5c6eb1d6cc3f06977a312b73fb144","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85071169110"
"de Moura J.T.V.; Rozendo C.; de Oliveira M.V.","de Moura, Joana Tereza Vaz (57221464176); Rozendo, Cimone (57191192760); de Oliveira, Marcio Vilela (57221462999)","57221464176; 57191192760; 57221462999","Movement and countermovement and the configurations of the political field around the use of pesticides in Brazil; [Movimento e contramovimento e as configurações do campo político em torno da utilização dos agrotóxicos no Brasil]","2020","Desenvolvimento e Meio Ambiente","54","","","560","609","49","2","10.5380/DMA.V54I0.75103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099259688&doi=10.5380%2fDMA.V54I0.75103&partnerID=40&md5=7452110aae91ca257c90d63fad8c6fbe","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099259688"
"de Almeida Pereira A.I.; de Lima Silva F.J.; Cândido G.A.; Lins Oliveira J.E.","de Almeida Pereira, Adriana Israel (58819825800); de Lima Silva, Flávio José (37025792300); Cândido, Gesinaldo Ataíde (15844746800); Lins Oliveira, Jorge Eduardo (25928564600)","58819825800; 37025792300; 15844746800; 25928564600","ANALYSIS OF TOURISM SUSTAINABILITY IN THE FERNANDO DE NORONHA ARCHIPELAGO, BRAZIL","2024","Revista de Gestao Social e Ambiental","18","4","4622","","","","0","10.24857/rgsa.v18n4-005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182652659&doi=10.24857%2frgsa.v18n4-005&partnerID=40&md5=59e87153a3d2f23f7b9bae962cf00b8c","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85182652659"
"Roos B.C.; de Lourenço A.L.C.","Roos, Breno Carvalho (56911872400); de Lourenço, André Luis Cabral (35621522200)","56911872400; 35621522200","From unsustained to sustained growth? Forecasting Brazilian potential growth for the period 2013-2020, with emphasis on the effect of the oil sector; [Dos ""voos de galinha"" ao crescimento sustentado? Projetando o crescimento potencial brasileiro para o período 2013-2020, com ênfase no efeito do setor petróleo]","2016","Nova Economia","26","3","","809","854","45","0","10.1590/0103-6351/2371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016799375&doi=10.1590%2f0103-6351%2f2371&partnerID=40&md5=4129fd605964e37186d7759cd0585036","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85016799375"
